North Square
Review,Rating,Date
"North Square offers an intimate jazz band setting with a fabulous brunch on Sundays. For $25 per person you get a perfectly portioned brunch, a cocktail, coffee plus over an hour of outstanding live jazz! With only 12 tables and some bar seating, there is not a bad seat in the place.  A true New York gem just steps away from Washington Square Park. Bring some cash to tip the band!",5,"Dined on April 21, 2024"
"Lovely ambiance, excellent food, good value, much beloved in the neighborhood",5,"Dined on April 14, 2024"
nice quite restaurant with very good service and food. Excellent rack of Lamb.,4,"Dined on April 5, 2024"
"More diner than brunch spot. Food was just ok. Went for the jazz brunch, but that is only at noon or 2:30p. Pretty disappointing. Much better options in Manhattan.",2,"Dined on March 31, 2024"
"Have been coming here for years!
This place is a lovely “little gem” on the North West corner of Washington Square Park..
Wonderful menu selections and quality food….",5,"Dined on March 29, 2024"
"Excellent food, excellent service. Love this place.",5,"Dined on March 8, 2024"
"It is one of the great mysteries of NYC why this restaurant isn't more popular.  But then again, maybe I should be careful what I wish for.  I have been to North Square 5 times in the past year, and it delivered very, very good food, especially for the price, at each visit.  There are always an array of daily specials, every one proving to have been a wise choice.  The wine list is solid and appropriately priced.  The restaurant is comfortable, congenial, and attractively designed.  The sound level allows conversation with your table mates to be pleasant, without needing to cup your ear to hear each other.  The food is delicious,  expertly prepared, and confidently served by the congenial waitstaff.  If you haven't tried it, you owe it to yourself to give it a try.",4,"Dined on February 26, 2024"
"We were visiting from Vancouver Canada and this was our last day. We decided to try and find some jazz and, since it was Sunday, looked for a jazz brunch. 
The music was great, the musicians were welcoming and friendly, and the dining experience was also so good. 
The prices were incredibly fair for the value of the experience. 
Thank you!",5,"Dined on February 18, 2024"
"We had hoped to be there for the jazz brunch. However, when we arrived, we were told that our reservation was for only the brunch, but that we had not indicated on our reservation that we intended it for the jazz brunch.  We were not the only people to have this problem. There were at least four parties that we could see who also were denied entrance to the jazz brunch and were quite angry and disappointed.  This was not the first time we were at Four Square for the jazz brunch and it had never been an issue before.  The maitre d'  was very decent and comped our breakfast but overall it was a disappointing day because we had been looking forward to the jazz brunch for a few weeks. It is absolutely crucial that Four Square make much more clear the requirement on their website that one has to specifically indicate that the reservation is for the jazz brunch, and not simply for the brunch itself.",1,"Dined on February 18, 2024"
"Tasty food, good value and excellent service--all good!",4,"Dined on February 16, 2024"
"Food was good, very good.  We came for the Restaurant Week Prix Fixe lunch that was indicated on Open Table for $30 per person.  They did not offer that, only the dinner price at $45 per person.  An unpleasant surprise.",4,"Dined on January 23, 2024"
"What a pleasure to have a QUIET dinner at North Square.  We loved our meal, had good service, and will definitely come to your restaurant more frequently.",5,"Dined on January 13, 2024"
"North Square is dependably good food and a quiet, neighborhood atmosphere.  Highly recommend.",5,"Dined on January 8, 2024"
North Square never disappoints with excellent food at reasonable prices and service is excellent as well.,5,"Dined on January 7, 2024"
"The food was great, service polite and eficient and the ambiance was pleasant in the room.",5,"Dined on January 2, 2024"
Always a delightful experience. Bravo to Ben and North Square for making The Sunday jazz brunch so special.,5,"Dined on December 31, 2023"
"We went to North Square to celebrate a special birthday in a low key way. All of the staff were warm and attentive. The menu was varied and the food was very tasty. The chef's special dessert of pear spice cake with caramel sauce was the perfect balance of sweet, fall spices, and caramel.",5,"Dined on December 29, 2023"
This is a nice quiet place with good food and reasonably priced.  It's not large so the service is usually quite good.,4,"Dined on December 29, 2023"
What a great surprise dinning in this wonderful hotel. Perfect Rack of Lamb  great salads and side dishes and perfect spice cake with salted caramel gelato. Can’t wait to go back. Also the best valued breakfast in nyc,5,"Dined on December 29, 2023"
We had a wonderful dining experience as we always do at North Square !  The food was so delicious and well presented and the service was excellent !!,5,"Dined on December 19, 2023"
"We asked for a quiet booth and got one, for which we were grateful even though it was right next to the door leading to the restrooms. All of the staff was friendly and attentive except for one waitress, who seemed put out by any request or question. But the main point is that the food was excellent and creative, from calamari to pumpkin cheesecake. All of the entrees were perfect. The only real complaint might be that the bartender doesn't know how to make a Manhattan, at least not a traditional one with bourbon and sweet vermouth. Rather than trying to rectify the order the above-mentioned waitress argued with us.",5,"Dined on December 17, 2023"
"Very nicely prepared food. Really good job on the Halibut, which is hard to accomplish with such a dry fish!",5,"Dined on December 6, 2023"
This is now our favorite restaurant in Manhattan.  We hope to make it a monthly habit.,5,"Dined on December 3, 2023"
"Bad energy in there. Felt dead, service took a long time. Our $16 cocktails were just liquor and ice, not even half full glass.",2,"Dined on December 2, 2023"
"We love North Square, this is the first time we've come for Thanksgiving. We really enjoyed every part of the meal and will keep it in mind for the next time we're in NYC for Thanksgiving, as well as throughout the year.",5,"Dined on November 24, 2023"
"The Jazz Brunch is excellent- great value for pre-fixe. Kendra Shank was amazing! 
If making reservations NOW One NEEDS to Call the Restaurant.",4,"Dined on November 19, 2023"
A perfect place to meet my grandson who is a freshman at NYU. We had an uninterrupted lunch with excellent service and very good food. It was quiet enough so that we could catch up with his life and talk. We were there for 3 hours!,4,"Dined on November 19, 2023"
"I am thoroughly embarrassed that I brought an important contact to this restaurant for a first impression!  Do NOT repeat my mistake!!

North Square used to be synonymous for impeccable service, scrumptious dining, and a quiet, understated intimation of something special.  

All of those tangibles and intangibles were absent during yesterday’s lunch.  

The staff were moping about, the food ill-prepared, and frankly the place felt and looked tired and grimy. 

There are too many good and great restaurants in the area that value my cash to return to North Square, ever.

Learn from my mistake and go elsewhere.",1,"Dined on November 16, 2023"
Wonderful lunch at North Square. The kale and apple salad was fresh and delicious. The vegan Thai cure was terrific. And the pear tart was just sensational. Excellent service and reasonable prices. Will definitely return.,5,"Dined on November 2, 2023"
"Went to North Square for their Jazz Brunch on Sunday, which was excellent all around.  Marty Elkins and her group were amazing as was the Brunch itself.  The restaurant space is cozy , but the tables are spaced well.  I ordered the Brunch Tasting, which included Pumpkin Pecan Pancakes, Two Scrambled Eggs, Chicken & Apple Sausage (or Apple Wood Smoked Bacon) Roasted Yukon Potato & Asparagus....BIG yum!  Very reasonable place as well!  The staff was excellent and really took good care of us!  Thanks, North Square!",5,"Dined on October 1, 2023"
"The perfect place to meet and talk. Quiet, pleasant ambience, excellent food. The service was friendly, efficient, and pleasant. And the glasses of wine were quite nice. It was the first time here for my friend from New Jersey, and he thought it was a perfect choice for catching up. We will be meeting here again.",5,"Dined on September 28, 2023"
"Quite a nice lunch; very good food; attentive & thoughtful service
Overall very pleasant",4,"Dined on September 4, 2023"
"This was an amazing surprise. When you look at the front room, you think local coffee shop. They brought us to the back room and it was a luxury dining room. Service was wonderful and the food was delicious.",4,"Dined on August 6, 2023"
The food was tasty with attentive service. We were dining at lunch time and the food came promptly and we were able to enjoy our meal and not be rushed.,4,"Dined on July 24, 2023"
"Even on a Monday night in the city, they need to have adequate staffing and this night they really didn’t. I felt bad for the waiter, but the kitchen was clearly overwhelmed with a big party they had.",4,"Dined on June 19, 2023"
"It took the service a bit to rev up, but it did, to efficient and pleasant.  We had brunch--not a show-off meal for food, but they did well with it.  The restaurant retains some of its ""hotel-adjunct"" quality, not a bad thing.  I think the Jazz (we didn't eat in the Jazz Room) is good.",4,"Dined on June 18, 2023"
"We went for the early breakfast, less expensive then a diner, food was delicious and the ambiance is always great",5,"Dined on June 17, 2023"
excellent hamburger. qwertyuiop[asdfghjklzxcvbnmmm,4,"Dined on June 7, 2023"
"Always a good experience.. good food, nice atmosphere, helpful service",5,"Dined on June 4, 2023"
"Calm ambience, the food is excellently prepared, the service is right-on and non-inytusive.",4,"Dined on May 24, 2023"
"Cozy, relaxing, pretty low noise level, comfortable, inviting bright orange velvet upholstered booths and some stand-alone wooden tables, Lighting at different tables varies a lot, some very bright, some darker, some just right. Took a couple of tries but staff finally gave me my preferred table (I am a picky Goldilocks). Standard prices for the neighborhood. Appealing menu. Salmon was delicious but one side was just slightly overcooked. Friend had steak, very good. We shared arugula salad, was delicious. Desserts are a highlight (we had key lime pie and strawberry rhubarb crisp). Very attentive waiter.",4,"Dined on May 21, 2023"
"Excellent food, attentive service and very comfortable ambience makes for a very pleasant dining experience.  Never disappoints!",5,"Dined on May 19, 2023"
"always a pleasant evening dining at north square - tasty food, good service, pleasant surroundings",5,"Dined on April 19, 2023"
"This is a great ""off the radar"" restaurant on the NW corner of Washington Sq in Greenwich Village.   Great food, great service, moderate prices for always inventive and well-prepared food with a menu from easy going sandwich choices to entrees and salads both appetizer and entree size.  It is a neighborhood gem!",4,"Dined on April 9, 2023"
"The one the most interesting and varied menus in the West Village. Great food, service and ambiance. Quiet enough to have a good conversation. Will return again and again.",5,"Dined on April 8, 2023"
"We had the brunch menu which was good.  Everyone in the party was happy with their choice.  We also had great service, everyone was very tentative.",5,"Dined on April 1, 2023"
"North Square has been a favorite neighborhood spot for several years.  The food is consistently good, it is reasonably priced and we could always count on it for an enjoyable dinner out.  However, the last few times we have been here, there has been a noticeable issue with service.  At our last visit, we were seated for 20 minutes before anyone came over and asked about drinks or food order (and this was only after my husband went up to the bar to inquire).  Two women sitting by us had a similar experience, albeit an even longer time without service.  This has happened a few times now and at first we attributed it to newer staff post COVID but enough time has passed for adequate training.  The food remains reliable so we will give it a few more chances but I  do hope that management can improve the service with either new or additional staffing.  It's a solid neighborhood place so it would be a shame if we had to stop dining here.",4,"Dined on March 19, 2023"
Great experience,5,"Dined on March 17, 2023"
"Hello
This is the first time I have eaten in North Square  in many years.   I was pleased with the brightness, roominess and great comfort.  Unfortunately the dessert was a disaster, being old.  it was stale and we were quite sad on this reality.
I hope to come back but for fresher desserts.
Many thanks
David Leigh",4,"Dined on March 12, 2023"
"Even when full, the lounge is quiet and intimate. Go there to catch up with a friend or take a date.",5,"Dined on March 10, 2023"
Friendly staff and good food at a reasonable price for Manhattan,5,"Dined on February 27, 2023"
Went for brunch.  The French toast was sooooo good!  Prices were excellent!  Definitely will return!,4,"Dined on February 26, 2023"
We will always stay at the Washington Square Hotel when we visit New York and we will always have breakfast at The North Square.,5,"Dined on February 19, 2023"
"great location, surprisingly excellent food, great ambiance",5,"Dined on February 15, 2023"
"The food is always really good and the people are nice. Unfortunately, the orange and yellow decor is like that of a 50s diner so it is neither romantic nor charming.",4,"Dined on February 15, 2023"
"Great place, reasonable , quiet",5,"Dined on February 11, 2023"
"It was my son's birthday and brunch was a great experience. The service was very attentive, the music was excellent and the food delicious. I can't wait to come back again.",5,"Dined on February 5, 2023"
"Outstanding service. The menu is spare, but the cooking is excellent. The is a first rate operation.",5,"Dined on January 24, 2023"
"Excellent food, wonderful service and great value.  This place is an undiscovered gem.  I hadn't been since pre-pandemic and was delighted to find it's still superb.  The happy hour is an added bonus and a great deal.  Will return soon.",5,"Dined on January 22, 2023"
Outstanding restaurant. The food offerings are very good. And the service is consistently excellent.,5,"Dined on January 18, 2023"
"Favorite neighborhood restaurant. Delicious food, reasonable prices, and very relaxed. Easy to have conversations, unlike so many places.",5,"Dined on January 17, 2023"
"Four of us celebrated New Year's with brunch at North Square. They have a large selection of choices, we particularly enjoyed the Pumpkin Pecan Pancakes and the French Toast. The bacon is cooked perfectly, very crispy and not greasy nor singed. We found the prices to be very reasonable, particularly since the restaurant is in a hotel.",5,"Dined on January 1, 2023"
"Well prepared, tasty meals; comfortable and welcoming environment; excellent service.",5,"Dined on December 29, 2022"
I ordered the Rack of Lamb and my wife had the Herb Crusted Salmon both were quite good. I miss having bread on the table and the cup of mixed olives. The wine was excellent and I ordered a second glass as it fell under the happy hour price.,4,"Dined on December 25, 2022"
"We were there on Christmas Eve and the special menu was delicious.
The waitstaff is friendly and professional.  Service is quite good.
I'll be going back, often!",4,"Dined on December 25, 2022"
"We sat in the back lounge, the perfect location to catch up with each other and enjoy some good food and wine.",5,"Dined on December 21, 2022"
"We were very impressed with the food and service. The salads, entrees and desserts were tasty and well portioned. We will be back for another visit.",5,"Dined on December 11, 2022"
"The restaurant is quiet, the food is outstanding. A great value! in a great location!",5,"Dined on December 10, 2022"
"North Square is consistently a great place to dine - innovative menu, well prepared food, helpful staff, and nice atmosphere..  a good neighborhood spot",5,"Dined on December 6, 2022"
"North Square is a quiet little oasis in the Village.  The food is very consistently good...nothing overly fancy or trendy, but rather very nicely prepared classics with a few twists here and there.  The service is very attentive and professional.  If you are looking for a quieter place in the Village to enjoy a decent meal, this is a good choice.",4,"Dined on December 6, 2022"
"We and our friends all love jazz - and coming to a jazz brunch was great fun. The music was mellow and relaxing. Our food, barring slow delivery of a Canadian bacon side order and salad instead of the potato hash, was tasty and filling. Service was friendly and helpful. We appreciated not being rushed to depart once the set had ended…we could enjoy our coffee and conversation.",5,"Dined on December 4, 2022"
North square is always a good choice!,5,"Dined on November 29, 2022"
Very pleasant and tasty dinner yesterday at north square.. attentive service too.. will go back,5,"Dined on November 28, 2022"
North Square never disappoints.  The staff is as wonderful as the food.  We try to go there for every major holiday as well as other times.,5,"Dined on November 25, 2022"
"Excellent food, excellent service, good value, quiet ambiance!",5,"Dined on November 25, 2022"
"Lovely little place, out of the way. Limited menu but done well. Very friendly staff. Definitely worth another visit.",4,"Dined on November 18, 2022"
The food was not as good as it has been in the past,3,"Dined on November 17, 2022"
Very friendly service. Excellent food with large portions.,4,"Dined on November 15, 2022"
Perfect jazz brunch,5,"Dined on November 13, 2022"
The crusted salmon was excellent! Best I have eaten.,5,"Dined on October 30, 2022"
Great service and a wide variety of menu options.,5,"Dined on October 25, 2022"
Lovely vibe! Very good food but very small portion - 3 scallops for dinner entree.,3,"Dined on October 23, 2022"
Lovely salmon tartare with avocado and potato leek soup. Salmon and rack of lamb were outstanding. Even the french fries were delicious!,5,"Dined on October 15, 2022"
Jazz brunch was lovely x,5,"Dined on October 9, 2022"
We were here for the Sunday Jazz Brunch. Wonderful trio and good food. We keep coming back.,5,"Dined on October 2, 2022"
Met friends for lunch - sat outside and had a nice meal. Food and service always good!,4,"Dined on September 29, 2022"
"North Square is a neighborhood favorite. On the park, very good food, quiet ambience, relaxed, and not overpriced.
And now with pleasant heated outdoor sheds",5,"Dined on September 29, 2022"
"North Square has tiny private dining rooms on the street. These are absolutely perfect for people with hearing difficulties, because we don’t have to listen to anybody but each other. The food is good the service is attentive and the ambience, while a little bit wood shed, is perfect for our situation.",5,"Dined on September 24, 2022"
"Family get together, the staff was extremely attentive and the food selection perfect for brunch",5,"Dined on September 17, 2022"
"We had a table in a private cabana on the sidewalk! With a door we could close! The food, much of it vegetarian, was beautiful and delicious, the service was attentive, and the prices were quite reasonable. The attention to detail was sublime. Thank you!",5,"Dined on September 10, 2022"
"Great food and terrific friendly wait staff. They all helped each other so there was always someone to ask when you wanted something. 
The weather was wonderfully cool in this hot summer. I just wish the booths were designed to allow the cool breeze to come  in when there is fine weather. Of course in the winter the booths are perfectly closed.",5,"Dined on September 2, 2022"
This restaurant is a refuge in the noisy and confusing Washington Square area of Greenwich Village. The service and quality of food are completely exemplary. Wait staff is kind and friendly. The atmosphere is casual but very conscious of the welfare of all customers. Inside or outside this place is of the highest quality,5,"Dined on August 23, 2022"
very good food-- ggod ingredients well prepared. Quiet booth;rare for nyc! i had sea bass with coconut sauce over wilted greens-- perfectly made. our companion had rack of lamb -- also excellent. I was brought a complimentary plate of cookies and a candle --- somehow the management knew it wad my birthday!,5,"Dined on August 19, 2022"
"Had a fabulous jazz brunch. Food was excellent, service timely and talent incredible.",5,"Dined on August 14, 2022"
"I used to go to North Square frequently but after years of going,  I got a little tired of it and then the pandemic put an end to restaurant dinners. I met with a friend last night and we decided to try it again and I'm so glad that we did. We were given our own private outside area where we were served promptly and weren't disturbed by the conversation  of other diners  or the general din of most restaurants. The food was delicious, very nicely spiced and interesting with some really good choices for non-meat eaters. A real bonus were the prices which were extremely reasonable, especially these days where it seems all the restaurants in NYC have become unaffordable. I highly recommend this restaurant.",5,"Dined on August 11, 2022"
"Perfect place! Food is delicious, service is attentive and accommodating and ambience is cool and quiet .......perfect place to relax and enjoy companionship!",5,"Dined on August 6, 2022"
The staff was very friendly and responsive.,5,"Dined on August 1, 2022"
"Very good food,  nice menu for restaurant week. Easy to get to and very nice seating.",5,"Dined on July 27, 2022"
"North Square is a neighborhood gem.  Good food at reasonable prices, wonderful selection, first-rate service and very pleasant and quiet ambiance.  Tables are well-spaced and the booths add to privacy.  It’s always a pleasure to eat here.",4,"Dined on July 25, 2022"
"Good music. Good food.  Nice people. 
This was a great place to be on a very hot afternoon.",5,"Dined on July 24, 2022"
Very nice Sunday brunch. My 3 friends & I all enjoyed it. Delicious desserts.,4,"Dined on July 24, 2022"
The space was very comfortable and great. We enjoyed delicious burgers and drinks.,5,"Dined on July 12, 2022"
"North Square is always attractive, and the food is good.",5,"Dined on July 5, 2022"
"Always a good choice.. tasty food, interesting menu, pleasant setting, attentive service",5,"Dined on June 30, 2022"
The host/waiter made us feel so welcomed. He went the extra mile. Food was great. Diverse menu so everyone found something they enjoyed,5,"Dined on June 30, 2022"
"Portions are adequate 
The food is good depending on what you order.
The back room is usually quiet, there is no real ambiance. Tables are clean no linen on them. Pleasant surroundings",4,"Dined on June 10, 2022"
Excellent. Very professional,5,"Dined on June 9, 2022"
For the three of us it was a lovely dinner outdoors while it was still light.  Service was excellent.,5,"Dined on June 6, 2022"
"Everything we had was creative, used excellent ingredients, and was very tasty.
The pace was as leisurely as we wanted, service friendly, efficient, and non-intrusive,
and in general, one of the better lunches we have had in a long time in NYC.",5,"Dined on June 2, 2022"
Wine list was lacking.   Menu is limited,3,"Dined on May 27, 2022"
"Food superb and really comfortable seating and ambiance.
And, the very most cordial service.",5,"Dined on May 24, 2022"
"The curried chicken tartine with your amazing cranberry bread was outstanding. 

We found the staff to be attentive and friendly. We were served our dinner in a very short time. I highly recommend dining at North Square.",5,"Dined on May 22, 2022"
"Sitting in the tavern (bar/lounge) is quiet and pleasant, even as it fills with diners. Duck had a delicious sauce, although it was a bit tough. Service was helpful and polite. A perfect spot for a quiet meal with or without friends.",4,"Dined on May 21, 2022"
"Lamb burger disappointing. Seemed baked rather than grilled, overcooked though I requested medium rare. It didn’t come with ketchup for the fries so I requested ketchup 3 times and it finally came when we were finished eating. Servers very nice but not responsive.",3,"Dined on May 12, 2022"
We had a delicious meal here!  The salmon with coconut coriander rice and vegan curry were spiced wonderfully.  Our server was very attentive and the Burgundy Red wine we ordered was really good.  Desserts were also great!  We had creme brulee with passion fruit and the blueberry galette.,5,"Dined on May 10, 2022"
"This is our ""hideaway,"" very cozy with good food, and our ""first date"" restaurant.  For our 4th ""anniversary of that date, we returned, and found that the wine was on the house.  When you are in the hood, this is a must place.",5,"Dined on May 8, 2022"
"A wonderful option for delicious food, quiet place, reasonable prices. Key lime pie is a must try!",5,"Dined on May 3, 2022"
Great for a dinner with friends you do not see often.  Able to catch up in an unhurried quiet atmosphere with good food.,3,"Dined on April 27, 2022"
"A most delightful lunch. Not too crowded, screens separating tables and wonderful old favourites still on the menu. Endive salad, salmon tartare, wild mushroom soup followed by passion fruit creme brulee and served by lovely, professional staff made it a perfect lunch. Wasn't too crazy about the sidecar - prefer the traditional recipe🤷",5,"Dined on April 26, 2022"
"Waiter confused two orders , but we straightened it out!",4,"Dined on April 25, 2022"
"North Square is a great, modestly-sized restaurant in the heart of the East Village on a corner of Washington Square. It is unpretentious and very friendly. The menu is modest, but offers a very good selection of meals. It is obviously  manageable for the restaurant. The result is that the food offerings are consistently outstanding -- every dish is fresh, plentiful, and nicely presented. The service is quite good. It is a great value for very good food. We have frequented the restaurant a lot and we have never been disappointed.",5,"Dined on April 20, 2022"
"Good service and reliable food.  They didn’t kick us out after 2 hours, but it was a rainy Monday night and quiet.  Nice outdoor space, which we did not use.  Will return.",4,"Dined on April 19, 2022"
"I stay frequently at the Washington Square Hotel and I always find the food to be consistently very good. On this occasion, Easter, a special of wild boar was offered. It was delicious and paired perfectly with plantains, broccoli rob and a light fruit infused sauce. The other special that I tried was also delicious – – German chocolate cake complete with pralines and caramel sauce. All the regular items such as herbed rack of lamb and endive salad with blue cheese, pear and lardons  were delicious. I highly recommend this all time winner!  A brilliant chef and pastry chef live here :-)",5,"Dined on April 18, 2022"
"We attended the always delightful Sunday Jazz Brunch.  Although North Square is a great restaurant, the jazz program really puts it over the top.  Roz Corral  brings in a lineup of world class musicians and today's brunch was no exception.    The omelette was perfectly cooked and tasty along with a lightly dressed salad.   Coffee was excellent, as was service.  It's always a pleasure to dine at North Square and I look forward to returning in the future.",5,"Dined on April 10, 2022"
Always an outstanding experience; still my favorite,5,"Dined on April 3, 2022"
"Quiet place, accommodating and friendly. Good food efficiently served.",4,"Dined on April 2, 2022"
"Fabulous food, wonderful service, great ambiance, music was terrific.",5,"Dined on March 27, 2022"
nice brunch in an outside heated booth. fantastic service. great coffee and cappuccino. omelette choices were restricted to two items which was a bit limiting. pumpkin pecan pancakes were fine but disappointingly bland in flavor.,4,"Dined on March 27, 2022"
"Food iwas great , pricing was reasonable, the ambiance was very dinerish...get rid of all the booths",5,"Dined on March 26, 2022"
Excellent food and service in a comfy heated outdoor pod.,5,"Dined on March 24, 2022"
"Comfortable ambiance with nicely spaced tables. Very good, reliable food at a good value.  A great neighborhood find.",4,"Dined on March 20, 2022"
"Decided to have brunch there since it's near home.
We sat in the outside section, very nice and quite
Food was served quickly and piping hot.
Never disappointed going there",5,"Dined on March 6, 2022"
"Lovely jazz brunch - incredibly reasonable pricing, good food, good service.  Musicians were very good!  A truly enjoyable time that harkened back a pre-pandemic lifestyle.  Lifted our hearts",4,"Dined on February 27, 2022"
"It's a real pleasure to have brunch and enjoy the musicians and the vocalist.  This week it was Roz Corrall, a wonderful stylist who chooses interesting material and manages to entertain and look calm at the same time.  I had the omelet and coffee, but many people were enjoying cocktails  with their food.  A win.",4,"Dined on February 21, 2022"
Very lovely meal.  Great service. Nice ambiance.  Really enjoyed.,5,"Dined on February 20, 2022"
Definitely come to the Sunday jazz brunch. Great music and great menu. Lovely intimate room.,5,"Dined on February 6, 2022"
